year,state_name,district_name,registration_circles,murder,homicide,hit_and_run,acdnt_other_than_hit_and_run_,dowry_deaths,abetment_of_suicide,atmpt_cmmt_murder,atmpt_cmmt_suicide,miscarr_infant_foetic_aband,vlntrly_caus_dangers_weapons,vlntrly_caus_pub_srvnt_duty,hrt_endgrng_lf_safety,vlntrly_caus_grvus_hurt,acid_attack,grvus_hrt_lf_safety,assault_on_women,sex_hrrsmt_other_places,voyeurism,stalking,other_kidnp_abduc,kidnp_abdctn_murder,kidnp_abdctn_marrg,proc_minor_girls,human_trafficking,rape,ofnc_agnst_state_other,rioting_sectarian,rioting_political,rioting_agrarian,impt_asrtns_prjudc_intgrtn,affray,auto_motor_vehicle_theft,extortion_and_blackmailing,robbery,dacoity,cntrft_seal_mark,cntrft_curr_bank_notes,bank_frauds,atm_fraud,credit_debit_card_fraud,cheating,forgery,sale_food_drugs,rash_driving_pub_way,cheating_impersonation,ofnc_mischief,arson,criminal_trespass,crlty_husbnd_relatives,criminal_intimidation,insult_modesty_women,other_ipc_crimes
2017,Arunachal Pradesh,Upper Subansiri,Subansiri Upper,4.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,5.0,1.0,0.0,12.0
2017,Arunachal Pradesh,Tawang,Tawang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2017,Arunachal Pradesh,Tirap,Tirap,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2017,Arunachal Pradesh,Namsai,Namsai,7.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0
2017,Arunachal Pradesh,Siang,Siang,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,2.0
2017,Arunachal Pradesh,Kamle,Kamle,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2017,Arunachal Pradesh,Lower Siang,Lower Siang,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,8.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,2.0
2017,Assam,Kamrup Metro,Bieo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Assam,Barpeta,Barpeta,50.0,5.0,0.0,125.0,22.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,62.0,0.0,5.0,378.0,0.0,334.0,27.0,8.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,11.0,22.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,59.0,24.0,792.0,0.0,0.0,1408.0
2017,Assam,Baksa,Baksa,30.0,0.0,61.0,0.0,3.0,11.0,39.0,5.0,0.0,26.0,1.0,19.0,103.0,0.0,0.0,38.0,7.0,0.0,0.0,13.0,6.0,115.0,39.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,32.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,56.0,11.0,0.0,0.0,26.0,0.0,13.0,58.0,92.0,71.0,0.0,35.0
2017,Assam,Bongaigaon,Bongaigaon,16.0,1.0,0.0,0.0,9.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,56.0,0.0,0.0,0.0,2.0,0.0,89.0,29.0,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,5.0,31.0,2.0,0.0,1.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,338.0,0.0,0.0,697.0
